"";"position";"rank";"name";"uri";"imageUri";"industry";"country";"revenue";"marketValue";"headquarters";"ceo";"profits";"assets";"state";"thumbnail";"squareImage"
"1";1380;1380;"360 Security Technology";"360-security-technology";"no-pic";"Software & Programming";"China";1949;25392;"China";"Hong Yi Zhou";534;4287;NA;NA;NA
"2";216;216;"3M";"3m";"3m";"Conglomerates";"United States";32765;126052;"Minnesota";"Michael F. G. Roman";5349;36500;"Minnesota";NA;NA
"3";1184;1184;"3i Group";"3i-group";"3i-group";"Investment Services";"United Kingdom";590;13671;"United Kingdom";"Simon A. Borrows";2043;10923;NA;NA;NA
"4";1633;1633;"77 Bank";"77-bank";"77-bank";"Regional Banks";"Japan";886;1044;"Japan";"Hidefumi Kobayashi";137;77315;NA;NA;NA
"5";1959;1959;"AAC Technologies Holdings";"aac-technologies-holdings";"aac-technologies-holdings";"Electronics";"China";2737;8361;"China";"Zheng Min Pan";573;4350;NA;"http://specials-images.forbesimg.com/imageserve/57aa09f1a7ea4337c2cf82a8/280x425.jpg?fit=scale&background=000000";"http://specials-images.forbesimg.com/imageserve/57aa09f1a7ea4337c2cf82a8/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"6";282;282;"ABB";"abb";"abb";"Conglomerates";"Switzerland";34293;44509;"Switzerland";"Peter R. Voser";2169;44441;NA;NA;NA
"7";1474;1474;"AECOM Technology";"aecom-technology";"aecom-technology";"Construction Services";"United States";20282;5118;"California";"Michael S. Burke";77;14768;"California";NA;NA
"8";693;693;"AES";"aes";"aes";"Electric Utilities";"United States";10742;11738;"Virginia";"Andrés Ricardo Gluski Weilert";1200;32521;"Virginia";NA;NA
"9";952;952;"AGC";"agc";"no-pic";"Construction Materials";"Japan";13789;7533;"Japan";"Takuya Shimamura";811;20378;NA;"http://specials-images.forbesimg.com/imageserve/5ba5563ca7ea434e4c696292/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5ba5563ca7ea434e4c696292/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"10";1120;1120;"AGL Energy";"agl-energy";"agl-energy";"Electric Utilities";"Australia";9485;10220;"Australia";"Brett Redman";937;10713;NA;"http://specials-images.forbesimg.com/imageserve/5d5d909c95808800097d7f38/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d5d909c95808800097d7f38/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"11";1277;1277;"AGNC Investment";"agnc-investment";"agnc-investment";"Investment Services";"United States";1920;9697;"Maryland";"Gary D. Kain";129;109241;"Maryland";NA;NA
"12";113;113;"AIA Group";"aia-group";"aia-group";"Life & Health Insurance";"Hong Kong";39479;122238;"Hong Kong";"Ng Keng Hooi";3163;226919;NA;"http://specials-images.forbesimg.com/imageserve/5d5eb19868cb0a000917d043/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d5eb19868cb0a000917d043/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"13";770;770;"AIB Group";"aib-group";"no-pic";"Regional Banks";"Ireland";3763;12958;"Ireland";"Colin Hunt";1245;104639;NA;NA;NA
"14";96;96;"AIRBUS";"airbus";"airbus";"Aerospace & Defense";"Netherlands";75158;104873;"Netherlands";"Guillaume Faury";3603;131689;NA;NA;NA
"15";1030;1030;"ALFA";"alfa";"alfa";"Conglomerates";"Mexico";19048;5467;"Mexico";"Armando Garza Sada";683;18779;NA;NA;NA
"16";1540;1540;"AMP";"amp";"amp";"Investment Services";"Australia";4885;4770;"Australia";"Francesco de Ferrari";21;102276;NA;NA;NA
"17";120;120;"ANZ";"anz";"anz";"Major Banks";"Australia";27544;53963;"Australia";"Shayne Cary Elliott";4863;682036;NA;NA;NA
"18";898;898;"ASE Technology Holding";"ase-technology-holding";"no-pic";"Semiconductors";"Taiwan";12306;10209;"Taiwan";"Chien Shen Chang";838;17353;NA;NA;NA
"19";393;393;"ASML Holding";"asml-holding";"asml-holding";"Semiconductors";"Netherlands";12911;85551;"Netherlands";"Peter T. F. M. Wennink";2979;24779;NA;NA;NA
