"";"month";"variable";"value"
"1";"02";"positive";0,0385756676557863
"2";"06";"positive";0,0544081916001388
"3";"07";"positive";0,0475274725274725
"4";"09";"positive";0,0364077669902913
"5";"10";"positive";0,0388535917264989
"6";"11";"positive";0,0446492971617871
"7";"12";"positive";0,0503432494279176
"8";"02";"negative";0,00890207715133531
"9";"06";"negative";0,0189170426935092
"10";"07";"negative";0,00741758241758242
"11";"09";"negative";0,0145631067961165
"12";"10";"negative";0,0137146316322496
"13";"11";"negative";0,0115745366639807
"14";"12";"negative";0,011441647597254
